date,country,lat,long,type,cases,uid,iso2,iso3,code3,combined_key,population,continent_name,continent_code
7/26/2020,Algeria,28.0339,1.6596,confirmed,593,12,DZ,DZA,12,Algeria,43851043,Africa,AF
7/27/2020,Algeria,28.0339,1.6596,confirmed,616,12,DZ,DZA,12,Algeria,43851043,Africa,AF
7/28/2020,Algeria,28.0339,1.6596,confirmed,642,12,DZ,DZA,12,Algeria,43851043,Africa,AF
7/29/2020,Algeria,28.0339,1.6596,confirmed,614,12,DZ,DZA,12,Algeria,43851043,Africa,AF
7/30/2020,Algeria,28.0339,1.6596,confirmed,602,12,DZ,DZA,12,Algeria,43851043,Africa,AF
7/31/2020,Algeria,28.0339,1.6596,confirmed,563,12,DZ,DZA,12,Algeria,43851043,Africa,AF
8/1/2020,Algeria,28.0339,1.6596,confirmed,556,12,DZ,DZA,12,Algeria,43851043,Africa,AF
8/2/2020,Algeria,28.0339,1.6596,confirmed,515,12,DZ,DZA,12,Algeria,43851043,Africa,AF
8/3/2020,Algeria,28.0339,1.6596,confirmed,507,12,DZ,DZA,12,Algeria,43851043,Africa,AF
8/4/2020,Algeria,28.0339,1.6596,confirmed,532,12,DZ,DZA,12,Algeria,43851043,Africa,AF
8/5/2020,Algeria,28.0339,1.6596,confirmed,551,12,DZ,DZA,12,Algeria,43851043,Africa,AF
8/6/2020,Algeria,28.0339,1.6596,confirmed,571,12,DZ,DZA,12,Algeria,43851043,Africa,AF
8/7/2020,Algeria,28.0339,1.6596,confirmed,529,12,DZ,DZA,12,Algeria,43851043,Africa,AF
8/8/2020,Algeria,28.0339,1.6596,confirmed,538,12,DZ,DZA,12,Algeria,43851043,Africa,AF
8/9/2020,Algeria,28.0339,1.6596,confirmed,467,12,DZ,DZA,12,Algeria,43851043,Africa,AF
8/10/2020,Algeria,28.0339,1.6596,confirmed,552,12,DZ,DZA,12,Algeria,43851043,Africa,AF
8/11/2020,Algeria,28.0339,1.6596,confirmed,492,12,DZ,DZA,12,Algeria,43851043,Africa,AF
8/12/2020,Algeria,28.0339,1.6596,confirmed,495,12,DZ,DZA,12,Algeria,43851043,Africa,AF
8/13/2020,Algeria,28.0339,1.6596,confirmed,488,12,DZ,DZA,12,Algeria,43851043,Africa,AF
8/14/2020,Algeria,28.0339,1.6596,confirmed,477,12,DZ,DZA,12,Algeria,43851043,Africa,AF
8/15/2020,Algeria,28.0339,1.6596,confirmed,469,12,DZ,DZA,12,Algeria,43851043,Africa,AF
8/16/2020,Algeria,28.0339,1.6596,confirmed,450,12,DZ,DZA,12,Algeria,43851043,Africa,AF
8/17/2020,Algeria,28.0339,1.6596,confirmed,442,12,DZ,DZA,12,Algeria,43851043,Africa,AF
8/18/2020,Algeria,28.0339,1.6596,confirmed,419,12,DZ,DZA,12,Algeria,43851043,Africa,AF
8/19/2020,Algeria,28.0339,1.6596,confirmed,403,12,DZ,DZA,12,Algeria,43851043,Africa,AF
8/20/2020,Algeria,28.0339,1.6596,confirmed,411,12,DZ,DZA,12,Algeria,43851043,Africa,AF
8/21/2020,Algeria,28.0339,1.6596,confirmed,409,12,DZ,DZA,12,Algeria,43851043,Africa,AF
8/22/2020,Algeria,28.0339,1.6596,confirmed,401,12,DZ,DZA,12,Algeria,43851043,Africa,AF
8/23/2020,Algeria,28.0339,1.6596,confirmed,392,12,DZ,DZA,12,Algeria,43851043,Africa,AF
8/24/2020,Algeria,28.0339,1.6596,confirmed,398,12,DZ,DZA,12,Algeria,43851043,Africa,AF
8/25/2020,Algeria,28.0339,1.6596,confirmed,370,12,DZ,DZA,12,Algeria,43851043,Africa,AF
8/26/2020,Algeria,28.0339,1.6596,confirmed,391,12,DZ,DZA,12,Algeria,43851043,Africa,AF
8/27/2020,Algeria,28.0339,1.6596,confirmed,397,12,DZ,DZA,12,Algeria,43851043,Africa,AF
8/28/2020,Algeria,28.0339,1.6596,confirmed,387,12,DZ,DZA,12,Algeria,43851043,Africa,AF
